,attribute
274,AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses2
275,AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments
276,AvailableforsaleSecuritiesGrossRealizedLossesExcludingOtherThanTemporaryImpairments
277,AvailableforsaleSecuritiesGrossUnrealizedGain
278,AvailableforsaleSecuritiesGrossUnrealizedGainLoss1
279,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions1
280,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositionsGreaterThanOrEqualToOneYear
281,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureOtherPercentageOfNonperformingAssets
282,BankOverdrafts
283,BasicEarningsPerShareProForma
284,BeneficialInterest
285,BridgeLoan
286,BrokerageCommissionsRevenue
287,BuildingsAndImprovementsGross
288,BusinessAcquisitionContingentConsiderationAtFairValue
289,BusinessAcquisitionContingentConsiderationPotentialCashPayment
290,BusinessAcquisitionCostOfAcquiredEntityCashPaid
291,BusinessAcquisitionCostOfAcquiredEntityEquityInterestsIssuedAndIssuable
292,BusinessAcquisitionCostOfAcquiredEntityLiabilitiesIncurred
293,BusinessAcquisitionCostOfAcquiredEntityOtherNoncashConsideration
294,BusinessAcquisitionCostOfAcquiredEntityPlannedRestructuringActivities
295,BusinessAcquisitionCostOfAcquiredEntityPurchasePrice
296,BusinessAcquisitionCostOfAcquiredEntityTransactionCosts
297,BusinessAcquisitionEquityInterestIssuedOrIssuableNumberOfSharesIssued
298,BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned
299,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued
300,BusinessAcquisitionPercentageOfVotingInterestsAcquired
301,BusinessAcquisitionPreexistingRelationshipGainLossRecognized
302,BusinessAcquisitionProFormaEarningsPerShareBasic
303,BusinessAcquisitionProFormaEarningsPerShareDiluted
304,BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax
305,BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareBasic
306,BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareDiluted
307,BusinessAcquisitionProFormaNetIncomeLoss
308,BusinessAcquisitionProFormaRevenue
309,BusinessAcquisitionPurchasePriceAllocationAmortizableIntangibleAssets
310,BusinessAcquisitionPurchasePriceAllocationAssetsAcquired
311,BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet
312,BusinessAcquisitionPurchasePriceAllocationCurrentAssets
313,BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents
314,BusinessAcquisitionPurchasePriceAllocationCurrentAssetsInventory
315,BusinessAcquisitionPurchasePriceAllocationCurrentAssetsPrepaidExpenseAndOtherAssets
316,BusinessAcquisitionPurchasePriceAllocationCurrentAssetsReceivables
317,BusinessAcquisitionPurchasePriceAllocationCurrentLiabilities
318,BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesAccountsPayable
319,BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesAccruedLiabilities
320,BusinessAcquisitionPurchasePriceAllocationDeferredIncomeTaxesAssetLiabilityNet
321,BusinessAcquisitionPurchasePriceAllocationDeferredTaxLiabilitiesNoncurrent
322,BusinessAcquisitionPurchasePriceAllocationGoodwillAmount
323,BusinessAcquisitionPurchasePriceAllocationGoodwillExpectedTaxDeductibleAmount
324,BusinessAcquisitionPurchasePriceAllocationIntangibleAssetsNotAmortizable
325,BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed
326,BusinessAcquisitionPurchasePriceAllocationNetTangibleAssets
327,BusinessAcquisitionPurchasePriceAllocationNoncurrentAssets
328,BusinessAcquisitionPurchasePriceAllocationNoncurrentLiabilitiesLongTermDebt
329,BusinessAcquisitionPurchasePriceAllocationNotesPayableAndLongTermDebt
330,BusinessAcquisitionPurchasePriceAllocationOtherNoncurrentAssets
331,BusinessAcquisitionPurchasePriceAllocationOtherNoncurrentLiabilities
332,BusinessAcquisitionPurchasePriceAllocationProjectedBenefitObligationAsset
333,BusinessAcquisitionPurchasePriceAllocationProperty
334,BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment
335,BusinessAcquisitionPurchasePriceAllocationTangibleAssets
336,BusinessAcquisitionSharePrice
337,BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax
338,BusinessAcquisitionsProFormaNetIncomeLoss
339,BusinessAcquisitionsProFormaRevenue
340,BusinessCombinationAcquisitionOfLessThan100PercentNoncontrollingInterestFairValue
341,BusinessCombinationAcquisitionRelatedCosts
342,BusinessCombinationBargainPurchaseGainRecognizedAmount
343,BusinessCombinationConsiderationTransferred
344,BusinessCombinationConsiderationTransferred1
345,BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable
346,BusinessCombinationConsiderationTransferredIncludingEquityInterestInAcquireeHeldPriorToCombination
347,BusinessCombinationConsiderationTransferredLiabilitiesIncurred
348,BusinessCombinationConsiderationTransferredOther
349,BusinessCombinationConsiderationTransferredOther1
350,BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability
351,BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1
352,BusinessCombinationContingentConsiderationArrangementsRangeOfOutcomesValueHigh
353,BusinessCombinationContingentConsiderationAsset
354,BusinessCombinationContingentConsiderationLiability
355,BusinessCombinationContingentConsiderationLiabilityCurrent
356,BusinessCombinationContingentConsiderationLiabilityNoncurrent
357,BusinessCombinationIntegrationRelatedCosts
358,BusinessCombinationLiabilitiesArisingFromContingenciesAmountRecognized
359,BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual
360,BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual
361,BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentFinancialAssets
362,BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentFinancialLiabilities
363,BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentInventory
364,BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentPropertyPlantAndEquipment
365,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets
366,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCapitalLeaseObligation
367,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents
368,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssets
369,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsMarketableSecurities
370,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsOther
371,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets
372,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables
373,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities
374,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable
375,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesLongTermDebt
376,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther
377,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxAssets
378,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxAssetsNoncurrent
379,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilities
380,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilitiesCurrent
381,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilitiesNoncurrent
382,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIndefiniteLivedIntangibleAssets
383,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill
384,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles
385,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory
386,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities
387,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet
388,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentAssets
389,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilities
390,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt
391,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesOther
392,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets
393,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment
394,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedRestructuringLiabilities
395,BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedLessNoncontrollingInterest
396,BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet
397,BusinessCombinationSeparatelyRecognizedTransactionsNetGainsAndLosses
398,BusinessCombinationStepAcquisitionEquityInterestInAcquireeFairValue1
399,BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain
400,BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGainOrLoss
401,BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementLoss
402,BusinessExitCosts
403,BusinessExitCosts1
404,Capital
405,CapitalExpenditureDiscontinuedOperations
406,CapitalExpendituresIncurredButNotYetPaid
407,CapitalLeaseObligations
408,CapitalLeaseObligationsCurrent
409,CapitalLeaseObligationsIncurred
410,CapitalLeaseObligationsNoncurrent
411,CapitalLeasedAssetsGross
412,CapitalLeasedAssetsNumberOfUnits
413,CapitalLeasesBalanceSheetAssetsByMajorClassNet
414,CapitalLeasesFutureMinimumPaymentsDue
415,CapitalLeasesFutureMinimumPaymentsDueCurrent
416,CapitalLeasesFutureMinimumPaymentsDueInFiveYears
417,CapitalLeasesFutureMinimumPaymentsDueInFourYears
418,CapitalLeasesFutureMinimumPaymentsDueInRollingAfterYearFive
419,CapitalLeasesFutureMinimumPaymentsDueInRollingYearFive
420,CapitalLeasesFutureMinimumPaymentsDueInRollingYearFour
421,CapitalLeasesFutureMinimumPaymentsDueInRollingYearThree
422,CapitalLeasesFutureMinimumPaymentsDueInRollingYearTwo
423,CapitalLeasesFutureMinimumPaymentsDueInThreeYears
424,CapitalLeasesFutureMinimumPaymentsDueInTwoYears
